City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nolinsk,57.5596,49.9363,-4.2,92,100,5.33,RU,1675984009
1,emerald,-23.5333,148.1667,26.86,54,0,6.43,AU,1675984009
2,liepaja,56.5419,21.0367,2.99,87,100,10.29,LV,1675983879
3,bukid,5.5717,125.4056,25.89,77,100,1.78,PH,1675984009
4,busselton,-33.65,115.3333,16.92,77,0,2.45,AU,1675983657
5,carnarvon,-24.8667,113.6333,25.21,78,87,8.27,AU,1675984010
6,muros,42.7762,-9.0603,7.69,75,0,3.59,ES,1675984011
7,faya,18.3851,42.4509,11.29,71,18,1.12,SA,1675984011
8,vaini,-21.2,-175.2,28.09,83,75,3.09,TO,1675984011
9,dikson,73.5069,80.5464,-16.51,88,100,13.19,RU,1675984012
10,ushuaia,-54.8,-68.3,11.56,69,63,3.22,AR,1675984012
11,obo,5.3998,26.4869,21.71,24,4,2.08,CF,1675984013
12,voh,-20.9667,164.7,25.36,89,100,1.98,NC,1675984013
13,ushtobe,45.2514,77.9838,-6.25,90,100,7.97,KZ,1675984013
14,putnok,48.3,20.4333,-2.67,72,0,1.21,HU,1675984014
15,butaritari,3.0707,172.7902,27.0,82,93,8.52,KI,1675984014
16,neder vindinge,55.0321,11.8836,3.37,91,97,10.67,DK,1675984015
17,punta arenas,-53.15,-70.9167,13.06,67,75,4.63,CL,1675983769
18,mimongo,-1.6195,11.6068,21.23,97,91,1.16,GA,1675984015
19,marawi,7.9986,124.2928,19.59,92,89,0.73,PH,1675984016
20,hermanus,-34.4187,19.2345,21.56,80,19,6.66,ZA,1675984016
21,kirakira,-10.4544,161.9205,28.2,78,100,3.87,SB,1675984016
22,bayangol,50.6977,103.4656,-17.16,96,100,0.93,RU,1675984017
23,kruisfontein,-34.0033,24.7314,18.82,94,0,2.05,ZA,1675984017
24,estelle,29.8458,-90.1067,18.33,56,100,2.57,US,1675984017
25,itoman,26.1247,127.6694,22.01,88,75,8.75,JP,1675984018
26,bastia,42.6667,9.3333,6.28,64,81,0.45,FR,1675984018
27,puerto ayora,-0.7393,-90.3518,27.53,85,59,4.92,EC,1675984019
28,garissa,-0.4536,39.6401,25.69,64,4,4.48,KE,1675984019
29,rikitea,-23.1203,-134.9692,26.83,73,31,8.87,PF,1675984019
30,narsaq,60.9167,-46.05,-5.88,96,100,0.64,GL,1675984020
31,fairbanks,64.8378,-147.7164,-13.99,81,20,1.54,US,1675983398
32,cape town,-33.9258,18.4232,21.26,75,0,4.12,ZA,1675983929
33,zemio,5.0314,25.1361,21.73,28,5,1.62,CF,1675984020
34,frederico westphalen,-27.3592,-53.3944,23.91,46,96,1.68,BR,1675984021
35,nikolskoye,59.7035,30.7861,-2.06,86,100,5.22,RU,1675984021
36,jamestown,42.097,-79.2353,14.77,79,100,4.12,US,1675983823
37,klaksvik,62.2266,-6.589,3.51,61,100,6.38,FO,1675984022
38,tiksi,71.6872,128.8694,-38.66,98,97,1.96,RU,1675984023
39,new norfolk,-42.7826,147.0587,16.62,83,100,0.37,AU,1675984023
40,fortuna,40.5982,-124.1573,17.74,66,0,0.45,US,1675983920
41,vryburg,-26.9566,24.7284,20.54,53,98,2.92,ZA,1675984024
42,hualmay,-11.0964,-77.6139,23.42,82,22,4.03,PE,1675984025
43,arraial do cabo,-22.9661,-42.0278,25.98,78,0,3.6,BR,1675983896
44,san quintin,30.4833,-115.95,19.31,31,0,3.81,MX,1675984025
45,castro,-24.7911,-50.0119,21.57,71,25,0.92,BR,1675984027
46,gaoual,11.75,-13.2,27.44,32,18,2.0,GN,1675984029
47,mar del plata,-38.0023,-57.5575,23.01,83,0,4.12,AR,1675983935
48,zhigansk,66.7697,123.3711,-42.69,99,100,2.71,RU,1675984030
49,jega,12.2175,4.3792,24.75,11,20,5.13,NG,1675984031
50,half moon bay,37.4636,-122.4286,21.96,63,0,2.57,US,1675984031
51,yellowknife,62.456,-114.3525,-18.24,96,54,1.69,CA,1675984032
52,mpanda,-6.3655,31.0409,17.66,95,74,0.81,TZ,1675984032
